Neighborhood,Crime Amount
san-pedro,28
pacific-palisades,18
brentwood,25
harbor-city,8
wilmington,20
harbor-gateway,13
playa-del-rey,2
westchester,14
venice,41
mar-vista,10
playa-vista,4
del-rey,8
gramercy-park,6
manchester-square,4
hyde-park,13
chesterfield-square,7
harvard-park,0
leimert-park,7
sawtelle,28
rancho-park,6
palms,13
west-los-angeles,9
century-city,1
cheviot-hills,6
beverlywood,2
westwood,19
bel-air,6
baldwin-hillscrenshaw,7
west-adams,7
pico-robertson,9
mid-city,25
mid-wilshire,14
exposition-park,5
jefferson-park,3
arlington-heights,4
harvard-heights,2
carthay,5
beverly-grove,16
fairfax,5
hancock-park,7
koreatown,25
windsor-square,4
hollywood,27
larchmont,5
vermont-vista,15
broadway-manchester,11
green-meadows,16
vermont-knolls,4
watts,8
vermont-slauson,8
florence,8
vermont-square,12
south-park,7
central-alameda,4
adams-normandie,5
university-park,10
historic-south-central,12
pico-union,6
downtown,50
westlake,27
east-hollywood,14
silver-lake,19
chinatown,1
echo-park,12
elysian-park,1
elysian-valley,7
cypress-park,3
boyle-heights,17
lincoln-heights,12
el-sereno,9
montecito-heights,3
woodland-hills,34
tarzana,22
encino,30
sepulveda-basin,0
west-hills,9
chatsworth-reservoir,1
canoga-park,23
winnetka,17
reseda,21
lake-balboa,5
northridge,19
north-hills,18
porter-ranch,11
granada-hills,18
beverly-crest,8
studio-city,36
sherman-oaks,22
valley-village,6
valley-glen,15
hollywood-hills-west,6
hollywood-hills,8
toluca-lake,4
north-hollywood,34
van-nuys,33
panorama-city,6
mission-hills,8
arleta,1
pacoima,7
sun-valley,21
hansen-dam,1
shadow-hills,2
sunland,3
los-feliz,16
griffith-park,1
atwater-village,3
glassell-park,11
mount-washington,2
highland-park,9
eagle-rock,8
tujunga,13
sylmar,8
lake-view-terrace,5
