Neighborhood,Crime Amount
san-pedro,39
pacific-palisades,7
brentwood,13
harbor-city,6
wilmington,12
harbor-gateway,9
playa-del-rey,4
westchester,19
venice,34
mar-vista,5
playa-vista,2
del-rey,12
gramercy-park,3
manchester-square,11
hyde-park,18
chesterfield-square,5
harvard-park,7
leimert-park,16
sawtelle,30
rancho-park,2
palms,14
west-los-angeles,2
century-city,2
cheviot-hills,0
beverlywood,0
westwood,13
bel-air,1
baldwin-hillscrenshaw,24
west-adams,11
pico-robertson,10
mid-city,22
mid-wilshire,15
exposition-park,22
jefferson-park,13
arlington-heights,9
harvard-heights,9
carthay,1
beverly-grove,14
fairfax,12
hancock-park,10
koreatown,50
windsor-square,1
hollywood,68
larchmont,2
vermont-vista,12
broadway-manchester,38
green-meadows,23
vermont-knolls,15
watts,23
vermont-slauson,14
florence,29
vermont-square,32
south-park,14
central-alameda,23
adams-normandie,13
university-park,11
historic-south-central,39
pico-union,21
downtown,111
westlake,43
east-hollywood,28
silver-lake,15
chinatown,6
echo-park,11
elysian-park,1
elysian-valley,3
cypress-park,6
boyle-heights,49
lincoln-heights,14
el-sereno,13
montecito-heights,3
woodland-hills,22
tarzana,9
encino,11
sepulveda-basin,0
west-hills,15
chatsworth-reservoir,0
canoga-park,23
winnetka,20
reseda,23
lake-balboa,8
northridge,19
north-hills,31
porter-ranch,6
granada-hills,23
beverly-crest,5
studio-city,22
sherman-oaks,23
valley-village,7
valley-glen,29
hollywood-hills-west,3
hollywood-hills,10
toluca-lake,1
north-hollywood,43
van-nuys,47
panorama-city,22
mission-hills,6
arleta,4
pacoima,27
sun-valley,29
hansen-dam,1
shadow-hills,3
sunland,8
los-feliz,6
griffith-park,3
atwater-village,8
glassell-park,9
mount-washington,4
highland-park,13
eagle-rock,7
tujunga,7
sylmar,19
lake-view-terrace,4
